,MAE,RMSE,MAPE
Local Route,4107.504909366856,4808.382356674958,5597.252386765197
Light Rail,1271.8116858898554,2029.6910837582357,inf
Peak Service,67.2256984384599,97.07924061144678,inf
Rapid Route,3498.7351859183277,4634.672667920931,inf
School,2307.3712882897294,2433.3053287250855,inf
