Date,Forecast
2024-09-30,6556.257230969817
2024-10-01,16040.97032867514
2024-10-02,17733.622792328002
2024-10-03,17331.575318404048
2024-10-04,17366.54456338071
2024-10-05,16905.539867634598
2024-10-06,8286.237606371167
